Position (m),Velocity (m/s),Acceleration (m/s²),Time (s)
0.1398,-0.0017,0.0689,0.1
0.1398,0.0017,0.0506,0.15
0.14,0.0033,0.1724,0.2
0.1402,0.0189,0.1242,0.25
0.1419,0.0157,-0.3439,0.3
0.1417,-0.0154,-0.3649,0.35
0.1404,-0.0208,0.0847,0.4
0.1397,-0.007,0.2403,0.45
0.1397,0.0033,0.3107,0.5
0.14,0.0241,0.1754,0.55
0.1421,0.0208,-0.2409,0.6
0.1421,1.42E-05,-0.2237,0.65
0.1421,-0.0016,-0.2084,0.7
0.1419,-0.0208,0.032,0.75
0.14,0.0016,0.3314,0.8
0.1421,0.0123,-0.2395,0.85
0.1412,-0.0223,-0.4001,0.9
0.1398,-0.0277,0.1517,0.95
0.1385,-0.0071,0.5354,1
0.1391,0.0259,0.263,1.05
0.141,0.0192,-0.3611,1.1
0.141,-0.0102,-0.3812,1.15
0.14,-0.019,-0.0357,1.2
0.1392,-0.0138,0.1205,1.25
0.1386,-0.0069,0.1035,1.3
0.1385,-0.0035,0.0687,1.35
0.1383,-4.15E-05,0.0861,1.4
0.1385,0.0051,0.0674,1.45
0.1388,0.0067,0.2409,1.5
0.1391,0.0292,0.2275,1.55
0.1417,0.0294,-0.2571,1.6
0.1421,0.0035,-0.3612,1.65
0.1421,-0.0067,-0.3626,1.7
0.1414,-0.0327,-0.1933,1.75
0.1388,-0.026,0.3104,1.8
0.1388,-0.0017,0.2082,1.85
0.1386,-0.0052,-0.0176,1.9
0.1383,-0.0035,0.0345,1.95
0.1383,-0.0017,0.0172,2
0.1381,-0.0017,0.0172,2.05
0.1381,0,0.0173,2.1
0.1381,0,-1.38E-04,2.15
0.1381,-1.38E-05,0.0169,2.2
0.1381,0.0017,0.0515,2.25
0.1383,0.0051,0.0689,2.3
0.1386,0.0086,0.0522,2.35
0.1391,0.0103,-0.0169,2.4
0.1397,0.0069,-0.0517,2.45
0.1398,0.0052,-0.0343,2.5
0.1402,0.0035,-0.0517,2.55
0.1402,0,-0.0347,2.6
0.1402,0,-1.40E-04,2.65
0.1402,-1.40E-05,0.0172,2.7
0.1402,0.0017,0.0151,2.75
0.1404,0.0015,0.2692,2.8
0.1403,0.0286,0.9943,2.85
0.1432,0.1009,1.3429,2.9
0.1504,0.1629,1.0499,2.95
0.1595,0.2059,0.8094,3
0.171,0.2439,0.5707,3.05
0.1839,0.263,0.1761,3.1
0.1973,0.2615,-0.2185,3.15
0.21,0.2411,-0.596,3.2
0.2214,0.2019,-0.975,3.25
0.2302,0.1436,-1.2693,3.3
0.2358,0.075,-1.4262,3.35
0.2377,0.001,-1.4803,3.4
0.2359,-0.0731,-1.4137,3.45
0.2304,-0.1404,-1.2432,3.5
0.2219,-0.1974,-0.9863,3.55
0.2107,-0.239,-0.642,3.6
0.198,-0.2616,-0.2631,3.65
0.1845,-0.2653,0.168,3.7
0.1714,-0.2448,0.5999,3.75
0.16,-0.2053,0.9451,3.8
0.1509,-0.1503,1.2208,3.85
0.145,-0.0832,1.4278,3.9
